"bench","l2_size","l2_assoc","l2_tags","num_domains","num_cpus_per_domain","sim_ticks","num_cycles","system_subthreshold_leakage_power","system_gate_leakage_power","system_runtime_dynamic_power","system_runtime_dynamic_energy","system_total_runtime_energy","l2_subthreshold_leakage_power","l2_gate_leakage_power","l2_runtime_dynamic_power","l2_runtime_dynamic_energy","l2_total_runtime_energy","l2_miss_rate","l2_replacements","numa_cache_downward_miss_rate","numa_cache_upward_miss_rate","system_bus_snoops"
"facesim","1MB","8","LRU","2","2","3375346186500","6750693080","8.53152","0.480438","2.13893","14.4393","75.2763","4.89148","0.1631548","0.040718000000000004","0.274875","34.3972","0.532311","134810234","0.9999605","0.999946","211228706"
"facesim","2MB","8","LRU","2","2","3375346186500","6750693080","12.0949","0.525901","2.15468","14.5456","99.7446","8.45484","0.208618","0.0564576","0.381128","58.8655","0.4394585","111237451","0.999931","0.9997555","174822845"
"facesim","4MB","8","LRU","2","2","3375346186500","6750693080","20.6516","0.728504","2.1795","14.7132","159.044","17.01154","0.41122","0.0812833","0.548719","118.1644","0.4220785","106597412","0.9999754999999999","0.9999845","167216513"
"facesim","8MB","8","LRU","2","2","3375346186500","6750693080","36.7801","1.06368","2.21216","14.9336","270.405","33.14","0.746394","0.1139454","0.76921","229.527","0.404915","102213002","0.999992","0.9999735000000001","159340677"
"ferret","256kB","8","LRU","2","2","462846140000","925692714","4.79021","0.350435","1.44302","1.33579","6.09445","1.150172","0.033152","0.00620418","0.005743160000000001","1.101137","0.248584","3943495","0.9929595","0.995563","6435701"
"ferret","512kB","8","LRU","2","2","462846245000","925692924","6.0373","0.392398","1.44535","1.33795","7.28988","2.39726","0.0751148","0.00853935","0.00790481","2.2965600000000004","0.160684","2501653","0.989643","0.9771799999999999","4085907"
"ferret","1MB","8","LRU","2","2","462846301000","925693036","8.53152","0.480438","1.44823","1.34061","9.68292","4.89148","0.1631548","0.011413280000000001","0.01056519","4.6896","0.0884115","1362902","0.9947714999999999","0.994849","2375122"
"ferret","2MB","8","LRU","2","2","462864489000","925729412","12.0949","0.525901","1.45314","1.34522","13.0286","8.45484","0.208618","0.01634673","0.015132650000000001","8.03514","0.0520455","761067","0.99825","0.9992825000000001","1463062"
"ferret","4MB","8","LRU","2","2","462864521000","925729476","20.6516","0.728504","1.45936","1.35097","21.1431","17.01154","0.41122","0.02256679","0.020890699999999998","16.14965","0.0332275","411982","0.999344","0.999717","916738"
"ferret","8MB","8","LRU","2","2","462864521000","925729476","36.7801","1.06368","1.46877","1.35968","36.3928","33.14","0.746394","0.031970399999999996","0.0295959","31.399299999999997","0.0245105","251421","1.0","1.0","648201"
"fluidanimate","256kB","8","LRU","2","2","261556791500","523112480","4.79021","0.350435","1.80865","0.946128","3.63527","1.150172","0.033152","0.00262401","0.001372651","0.620384","0.5436395","1329566","0.9915339999999999","0.9976735000000001","2334060"
