"bench","l2_size","l2_assoc","l2_tags","num_threads","sim_ticks","num_cycles","speedup","system_subthreshold_leakage_power","system_gate_leakage_power","system_runtime_dynamic_power","system_runtime_dynamic_energy","system_total_runtime_energy","l2_subthreshold_leakage_power","l2_gate_leakage_power","l2_runtime_dynamic_power","l2_runtime_dynamic_energy","l2_total_runtime_energy","l2_miss_rate","l2_replacements"
"ferret","1MB","8","LRU","4","462917321500","925835076","1.0","6.08578","0.398861","1.44848","1.34105","7.34476","2.44574","0.0815774","0.0117706","0.0108977","2.35078","0.118156","1813663"
"ferret","2MB","8","LRU","4","462917321500","925835076","1.0","7.86746","0.421592","1.45336","1.34558","9.01987","4.22742","0.104309","0.0166539","0.0154188","4.02588","0.071075","1080823"
"ferret","4MB","8","LRU","4","462917321500","925835076","1.0","12.1458","0.522893","1.45932","1.35109","13.0802","8.50577","0.20561","0.0226069","0.0209303","8.08623","0.03754","567074"
"ferret","8MB","8","LRU","4","462917321500","925835076","1.0","20.2101","0.69048","1.46826","1.35937","20.7098","16.57","0.373197","0.0315498","0.0292099","15.7158","0.017544","263992"
"fluidanimate","256kB","8","LRU","4","261555871500","523110640","1.0","4.21513","0.333859","1.8085","0.946045","3.32567","0.575086","0.016576","0.00247142","0.00129283","0.310797","0.522123","1414273"
"fluidanimate","512kB","8","LRU","4","261555871500","523110640","1.0","4.83867","0.354841","1.80971","0.946677","3.66346","1.19863","0.0375574","0.00367988","0.00192498","0.648587","0.467149","1206019"
"fluidanimate","1MB","8","LRU","4","261555871500","523110640","1.0","6.08578","0.398861","1.81097","0.947338","4.33952","2.44574","0.0815774","0.00494278","0.00258562","1.32465","0.4449","1142454"
"fluidanimate","2MB","8","LRU","4","261555871500","523110640","1.0","7.86746","0.421592","1.81281","0.948301","5.28439","4.22742","0.104309","0.0067841","0.00354883","2.26952","0.352361","900968"
"fluidanimate","4MB","8","LRU","4","261555871500","523110640","1.0","12.1458","0.522893","1.81386","0.948848","7.57598","8.50577","0.20561","0.00782989","0.0040959","4.56111","0.156775","395378"
"fluidanimate","8MB","8","LRU","4","261555871500","523110640","1.0","20.2101","0.69048","1.81535","0.94963","11.8829","16.57","0.373197","0.00932441","0.0048777","8.86806","0.03707","91645"
"freqmine","256kB","8","LRU","4","1332518984000","2665038472","1.0","4.21513","0.333859","1.347","3.58981","15.713","0.575086","0.016576","0.00254483","0.00678206","1.58358","0.408887","6463983"
"freqmine","512kB","8","LRU","4","1332518984000","2665038472","1.0","4.83867","0.354841","1.34794","3.59232","17.4332","1.19863","0.0375574","0.00348951","0.00929969","3.30378","0.292295","4490266"
"freqmine","1MB","8","LRU","4","1332518984000","2665038472","1.0","6.08578","0.398861","1.34899","3.59511","20.8769","2.44574","0.0815774","0.00453517","0.0120864","6.74748","0.21309","3219355"
"freqmine","2MB","8","LRU","4","1332518984000","2665038472","1.0","7.86746","0.421592","1.35081","3.59997","25.6906","4.22742","0.104309","0.00635958","0.0169485","11.5612","0.153513","2303561"
"freqmine","4MB","8","LRU","4","1332518984000","2665038472","1.0","12.1458","0.522893","1.35322","3.60637","37.369","8.50577","0.20561","0.00876155","0.0233499","23.2395","0.122289","1829112"
"freqmine","8MB","8","LRU","4","1332518984000","2665038472","1.0","20.2101","0.69048","1.35676","3.61583","59.3166","16.57","0.373197","0.0123086","0.0328029","45.1872","0.111937","1661752"
"streamcluster","256kB","8","LRU","4","399367851500","796937005","1.0","4.21513","0.333859","1.53709","1.22497","4.85022","0.575086","0.016576","0.0183238","0.0146029","0.48612","0.672765","17257671"
"streamcluster","512kB","8","LRU","4","399367851500","796937005","1.0","4.83867","0.354841","1.54345","1.23003","5.36893","1.19863","0.0375574","0.0246813","0.0196694","1.00483","0.49606","12705981"
