"bench","l2_size","l2_assoc","l2_tags","num_domains","num_cpus_per_domain","topology","sim_ticks","num_cycles","speedup","system_subthreshold_leakage_power","system_gate_leakage_power","system_runtime_dynamic_power","system_runtime_dynamic_energy","system_total_runtime_energy","l2_subthreshold_leakage_power","l2_gate_leakage_power","l2_runtime_dynamic_power","l2_runtime_dynamic_energy","l2_total_runtime_energy","l2_mpki","l2_miss_rate","l2_replacements","numa_cache_downward_miss_rate","numa_cache_upward_miss_rate","system_bus_snoops"
"canneal","256kB","8","LRU","4","1","[4,1]","72731866000","145461950","1.2960350249670103","5.94039","0.383587","1.37072","0.199388","1.11929","2.300344","0.066304","0.031893410000000004","0.004639277","0.3488964","14.98042369620097","0.70690025","5582829","0.99995575","-0.002575250000000001","7206081"
"canneal","256kB","8","LRU","4","2","[4,2]","53775234000","107521245","1.75336308652304","9.58043","0.70087","2.33418","0.250974","1.35643","2.300344","0.066304","0.0431607","0.004640689999999999","0.2591056","15.129395567009638","0.7358082499999999","5672558","0.99981625","-0.0014490000000000058","6887945"
"canneal","256kB","8","LRU","4","4","[4,4]","25656926000","51191232","3.6827357856907996","16.8605","1.33544","4.77542","0.24446","1.17593","2.300344","0.066304","0.09384056","0.0048038130000000005","0.1259555","15.256984814438825","0.7094480000000001","5798061","0.99997125","-0.0011779999999999569","6425619"
"dedup","256kB","8","LRU","2","1","[2,1]","901406886500","1802813800","1.0","2.97019","0.191793","0.736595","1.32794","7.02842","1.150172","0.033152","0.00311703","0.00561943","2.13893","0.5915148270789943","0.1100245","1940815","0.97885","0.9890570000000001","3133362"
"dedup","256kB","8","LRU","2","2","[2,2]","511563057000","1022496854","1.7631485054916365","4.79021","0.350435","1.38675","1.41795","6.67424","1.150172","0.033152","0.00630696","0.00644884","1.216394","1.1864473794236796","0.209858","4045247","0.992672","0.9938210000000001","5772862"
"dedup","256kB","8","LRU","2","4","[2,4]","343972671000","686477560","2.626180235228665","8.43026","0.667718","2.43614","1.67236","7.91791","1.150172","0.033152","0.01008824","0.00692535","0.81925","1.6643986396781523","0.304995","5861882","0.9971625","0.997031","8361631"
"dedup","256kB","8","LRU","2","8","[2,8]","331702929500","663190255","2.7183960958533686","15.7103","1.30228","3.95748","2.62456","13.9072","1.150172","0.033152","0.013241349999999999","0.00878153","0.793551","2.551201925484097","0.4313825","9803677","0.9949055","0.995881","13597610"
"dedup","256kB","8","LRU","4","1","[4,1]","508049489500","1016076840","1.7742888421706373","5.94039","0.383587","1.39057","1.41293","7.83857","2.300344","0.066304","0.005632267999999999","0.00572282","2.410419","0.6838464867048545","0.15072750000000001","2096317","0.9889295","-0.019487000000000032","3016441"
"dedup","256kB","8","LRU","4","2","[4,2]","368813374000","737548155","2.4443336855747404","9.58043","0.70087","2.37087","1.74863","9.33158","2.300344","0.066304","0.008418597","0.006209124","1.7517260000000001","1.0941392881924104","0.176852","3507948","0.99386375","-0.018659750000000003","4313991"
"dedup","256kB","8","LRU","4","4","[4,4]","297781607500","594425863","3.0328656813507457","16.8605","1.33544","4.0703","2.41949","13.2356","2.300344","0.066304","0.012901860000000001","0.00766921","1.414467","1.8570418239767952","0.31259325","6419492","0.996683","-0.023924499999999987","8665725"
