"bench","l2_size","l2_assoc","l2_tags","num_domains","num_cpus_per_domain","topology","sim_ticks","num_cycles","speedup","system_subthreshold_leakage_power","system_gate_leakage_power","system_runtime_dynamic_power","system_runtime_dynamic_energy","system_total_runtime_energy","l2_subthreshold_leakage_power","l2_gate_leakage_power","l2_runtime_dynamic_power","l2_runtime_dynamic_energy","l2_total_runtime_energy","l2_mpki","l2_miss_rate","l2_replacements","numa_cache_downward_miss_rate","numa_cache_upward_miss_rate","system_bus_snoops"
"dedup","4MB","8","LRU","2","2","[2,2]","516681596000","1033314979","0.9895306608150892","20.6516","0.728504","1.40358","1.45034","23.5427","17.01154","0.41122","0.025967579999999997","0.02683264","18.03002","0.29504509474384805","0.056316","548059","0.999712","0.999752","1486624"
"dedup","8MB","8","LRU","2","2","[2,2]","516681596000","1033314979","0.9895306608150892","36.7801","1.06368","1.41481","1.46194","40.5665","33.14","0.746394","0.037190799999999996","0.0384299","35.053799999999995","0.27620085045264214","0.0515815","374543","0.9997895","0.999916","1264255"
"facesim","256kB","8","LRU","2","2","[2,2]","3375346063000","6750692833","1.0","4.79021","0.350435","2.11798","14.2978","49.0008","1.150172","0.033152","0.01976487","0.1334265","8.121680000000001","5.873420485371499","0.5738495","145673717","0.9998635","0.9998485","228388765"
"facesim","512kB","8","LRU","2","2","[2,2]","3375346063000","6750692833","1.0","6.0373","0.392398","2.12891","14.3716","57.7765","2.39726","0.0751148","0.030690799999999997","0.207184","16.89741","5.717906249636446","0.5586555","141528385","0.9999439999999999","0.999923","222130148"
"facesim","1MB","8","LRU","2","2","[2,2]","3375346186500","6750693080","0.9999999634111643","8.53152","0.480438","2.1389","14.439","75.276","4.89148","0.1631548","0.0406792","0.27461199999999997","34.3969","5.448269691333329","0.532311","134810234","0.9999605","0.999946","211228706"
"facesim","2MB","8","LRU","2","2","[2,2]","3375346186500","6750693080","0.9999999634111643","12.0949","0.525901","2.15461","14.5451","99.7441","8.45484","0.208618","0.056392700000000004","0.38069","58.865","4.497898046143291","0.4394585","111237451","0.999931","0.9997555","174822845"
"facesim","4MB","8","LRU","2","2","[2,2]","3375346186500","6750693080","0.9999999634111643","20.6516","0.728504","2.17944","14.7127","159.043","17.01154","0.41122","0.0812176","0.5482750000000001","118.164","4.320002693535964","0.4220785","106597412","0.9999754999999999","0.9999845","167216513"
"facesim","8MB","8","LRU","2","2","[2,2]","3375346186500","6750693080","0.9999999634111643","36.7801","1.06368","2.2121","14.9332","270.405","33.14","0.746394","0.11387939999999999","0.7687660000000001","229.525","4.144326085389866","0.404915","102213002","0.999992","0.9999735000000001","159340677"
"ferret","256kB","8","LRU","2","2","[2,2]","462846140000","925692714","1.0","4.79021","0.350435","1.44288","1.33566","6.09432","1.150172","0.033152","0.0060652","0.00561451","1.101009","1.4687973812278186","0.248584","3943495","0.9929595","0.995563","6435701"
"ferret","512kB","8","LRU","2","2","[2,2]","462846245000","925692924","0.9999997731429132","6.0373","0.392398","1.44521","1.33782","7.28975","2.39726","0.0751148","0.00839544","0.00777161","2.29643","0.9475321711495724","0.160684","2501653","0.989643","0.9771799999999999","4085907"
"ferret","1MB","8","LRU","2","2","[2,2]","462846301000","925693036","0.999999652152509","8.53152","0.480438","1.44808","1.34048","9.68279","4.89148","0.1631548","0.01126522","0.010428139999999999","4.68947","0.5312125207856201","0.0884115","1362902","0.9947714999999999","0.994849","2375122"
"ferret","2MB","8","LRU","2","2","[2,2]","462864489000","925729412","0.9999603577465247","12.0949","0.525901","1.45289","1.34499","13.0284","8.45484","0.208618","0.01609741","0.01490184","8.03492","0.32091826391950584","0.0520455","761067","0.99825","0.9992825000000001","1463062"
"ferret","4MB","8","LRU","2","2","[2,2]","462864521000","925729476","0.9999602886145974","20.6516","0.728504","1.45911","1.35074","21.1429","17.01154","0.41122","0.02231387","0.02065655","16.149410000000003","0.20248873274386095","0.0332275","411982","0.999344","0.999717","916738"
"ferret","8MB","8","LRU","2","2","[2,2]","462864521000","925729476","0.9999602886145974","36.7801","1.06368","1.46851","1.35944","36.3925","33.14","0.746394","0.0317164","0.0293608","31.399","0.14489563257534893","0.0245105","251421","1.0","1.0","648201"
"fluidanimate","256kB","8","LRU","2","2","[2,2]","261556791500","523112480","1.0","4.79021","0.350435","1.80864","0.946124","3.63526","1.150172","0.033152","0.0026162399999999997","0.001368587","0.62038","0.6993683622638577","0.5436395","1329566","0.9915339999999999","0.9976735000000001","2334060"
"fluidanimate","512kB","8","LRU","2","2","[2,2]","261556750500","523112398","1.0000001567540748","6.0373","0.392398","1.81006","0.946867","4.31032","2.39726","0.0751148","0.00403744","0.00211203","1.2954409999999998","0.6726176335928555","0.5228444999999999","1259017","0.998224","0.99939","2239534"
"fluidanimate","1MB","8","LRU","2","2","[2,2]","261556801500","523112500","0.9999999617673063","8.53152","0.480438","1.81116","0.947441","5.66171","4.89148","0.1631548","0.00513332","0.0026853099999999998","2.64683","0.5694163121540976","0.44264349999999997","1026673","0.9994755","0.9995885","1897884"
"fluidanimate","2MB","8","LRU","2","2","[2,2]","261556531500","523111960","1.0000009940510632","12.0949","0.525901","1.81243","0.948104","7.55019","8.45484","0.208618","0.00639906","0.00334743","4.5353","0.3199506761516377","0.2487435","480568","0.998472","0.999228","1078781"
"fluidanimate","4MB","8","LRU","2","2","[2,2]","261556531500","523111960","1.0000009940510632","20.6516","0.728504","1.8141","0.948975","12.1332","17.01154","0.41122","0.00806362","0.00421818","9.11826","0.17031618934964632","0.132408","158619","0.998827","0.9986174999999999","573582"
"fluidanimate","8MB","8","LRU","2","2","[2,2]","261556531500","523111960","1.0000009940510632","36.7801","1.06368","1.81724","0.950618","20.7472","33.14","0.746394","0.01120257","0.0058601899999999995","17.73227","0.13851067950782722","0.10765","90688","0.999996","1.0","469791"
"freqmine","256kB","8","LRU","2","2","[2,2]","1332521706000","2665043916","1.0","4.79021","0.350435","1.35322","3.60638","17.3064","1.150172","0.033152","0.008763","0.0233538","3.1769600000000002","3.7840249725279165","0.7345889999999999","5250365","0.9992725","0.999387","56063295"
"freqmine","512kB","8","LRU","2","2","[2,2]","1332522711500","2665045927","0.9999992454163812","6.0373","0.392398","1.35792","3.61891","20.7543","2.39726","0.0751148","0.01346311","0.0358798","6.62486","3.599637511691596","0.6994325","3786526","0.9996039999999999","0.9997075","53977334"
"freqmine","1MB","8","LRU","2","2","[2,2]","1332522625000","2665045754","0.9999993103307899","8.53152","0.480438","1.36212","3.63012","27.6474","4.89148","0.1631548","0.01766708","0.0470836","13.51792","3.4808544805182655","0.6751585","2771221","0.999782","0.999819","52620791"
"freqmine","2MB","8","LRU","2","2","[2,2]","1332523374000","2665047252","0.9999987482398305","12.0949","0.525901","1.37058","3.65265","37.2876","8.45484","0.208618","0.0261206","0.0696128","23.158099999999997","3.3885859191258287","0.6573855","2056689","0.999797","0.9998715","51636108"
"freqmine","4MB","8","LRU","2","2","[2,2]","1332523374000","2665047252","0.9999987482398305","20.6516","0.728504","1.38282","3.68529","60.6642","17.01154","0.41122","0.0383691","0.1022556","46.5347","3.351935652022231","0.6502665000000001","1734464","0.999873","0.9999750000000001","51232798"
"freqmine","8MB","8","LRU","2","2","[2,2]","1332523374000","2665047252","0.9999987482398305","36.7801","1.06368","1.39881","3.7279","104.583","33.14","0.746394","0.0543564","0.1448624","90.4538","3.3326868017931743","0.6465275","1449665","0.999991","0.9999960000000001","50963960"
"streamcluster","256kB","8","LRU","2","2","[2,2]","399404442000","796912550","1.0","4.79021","0.350435","1.53896","1.22642","5.32307","1.150172","0.033152","0.02008804","0.01600837","0.959014","8.963460932510587","0.6707475","16430181","0.9906565","0.9869955","29207492"
"streamcluster","512kB","8","LRU","2","2","[2,2]","399492770000","798865896","0.9975548511836835","6.0373","0.392398","1.53613","1.22716","6.36363","2.39726","0.0751148","0.0189731","0.01515696","1.990251","2.4992389567944335","0.18697550000000002","2723508","0.986661","0.9903215","8916521"
"streamcluster","1MB","8","LRU","2","2","[2,2]","402549206500","804725388","0.9902912992226859","8.53152","0.480438","1.53588","1.23596","8.48811","4.89148","0.1631548","0.024398200000000002","0.01963389","4.08722","1.242483433385524","0.093012","29462","0.999992","0.9999935","5073159"
"streamcluster","2MB","8","LRU","2","2","[2,2]","400686996500","800819416","0.9951214144887816","12.0949","0.525901","1.5517","1.24263","11.3496","8.45484","0.208618","0.0367297","0.0294138","6.96727","1.2374709516373836","0.0926815","21444","0.999995","0.9999994999999999","5053004"
"streamcluster","4MB","8","LRU","2","2","[2,2]","400686996500","800819416","0.9951214144887816","20.6516","0.728504","1.5674","1.25521","18.3768","17.01154","0.41122","0.0524367","0.041992299999999996","13.99447","1.2370008895414022","0.09264649999999999","14107","0.9999975","1.0","5047408"
"streamcluster","8MB","8","LRU","2","2","[2,2]","400686996500","800819416","0.9951214144887816","36.7801","1.06368","1.59019","1.27345","31.5795","33.14","0.746394","0.0752199","0.0602375","27.1972","1.2368747753205291","0.092637","8102","0.9999975","1.0","5042276"
"swaptions","256kB","8","LRU","2","2","[2,2]","163110020500","326220042","1.0","4.79021","0.350435","1.81262","0.591312","2.26829","1.150172","0.033152","0.0038458900000000002","0.0012546100000000002","0.387279","0.0824817024765708","0.0228125","19392","0.992642","0.999214","174831"
"swaptions","512kB","8","LRU","2","2","[2,2]","163058319500","325677194","1.001666828411694","6.0373","0.392398","1.81569","0.591328","2.68533","2.39726","0.0751148","0.0056745300000000005","0.001848065","0.807043","0.07610768081493803","0.022057","12643","0.9999165","0.999967","144075"
"swaptions","1MB","8","LRU","2","2","[2,2]","163058319500","325677194","1.001666828411694","8.53152","0.480438","1.81875","0.592325","3.52731","4.89148","0.1631548","0.008734470000000001","0.00284462","1.649024","0.07344758716627592","0.021270999999999998","8484","0.9997265","0.9997659999999999","140529"
"swaptions","2MB","8","LRU","2","2","[2,2]","163033440500","325945801","1.0008413699429741","12.0949","0.525901","1.8232","0.594264","4.70795","8.45484","0.208618","0.01381926","0.004504330000000001","2.8283199999999997","0.10888594275659834","0.0301425","5886","1.0","1.0","214482"
"swaptions","4MB","8","LRU","2","2","[2,2]","163033440500","325945801","1.0008413699429741","20.6516","0.728504","1.82905","0.596173","7.56492","17.01154","0.41122","0.01967546","0.0064131399999999995","5.6852800000000006","0.10857758395229722","0.0300575","4144","1.0","1.0","213203"
"swaptions","8MB","8","LRU","2","2","[2,2]","163033440500","325945801","1.0008413699429741","36.7801","1.06368","1.83775","0.599007","12.934","33.14","0.746394","0.0283729","0.00924803","11.054400000000001","0.10849167304164616","0.030033499999999998","2250","1.0","1.0","211444"
"vips","256kB","8","LRU","2","2","[2,2]","715642047500","1431284386","1.0","4.79021","0.350435","1.60011","2.29022","9.64795","1.150172","0.033152","0.00794599","0.01137297","1.7050459999999998","2.3695744373481684","0.565168","12955583","0.998386","0.99848","19973777"
"vips","512kB","8","LRU","2","2","[2,2]","715642108000","1431284507","0.9999999154605536","6.0373","0.392398","1.60346","2.29501","11.4977","2.39726","0.0751148","0.01129046","0.01615986","3.5548200000000003","1.9174311612559918","0.4566775","10172986","0.9988524999999999","0.99816","16487882"
"vips","1MB","8","LRU","2","2","[2,2]","715642168000","1431284627","0.9999998316197942","8.53152","0.480438","1.60657","2.29946","15.1981","4.89148","0.1631548","0.01440403","0.020616299999999997","7.25523","1.5722041111366138","0.375912","8188038","0.998578","0.99917","13370971"
"vips","2MB","8","LRU","2","2","[2,2]","715642368000","1431285027","0.9999995521506982","12.0949","0.525901","1.61064","2.30528","20.3692","8.45484","0.208618","0.018468810000000002","0.0264342","12.426300000000001","0.9176506170233713","0.2182975","4700784","0.9993535","0.999444","8104898"
"vips","4MB","8","LRU","2","2","[2,2]","715642159000","1431284609","0.9999998441959073","20.6516","0.728504","1.61344","2.30929","32.9103","17.01154","0.41122","0.02126719","0.0304394","24.967399999999998","0.1833669491624744","0.043247999999999995","791314","0.9973205","0.9977885","1797756"
"vips","8MB","8","LRU","2","2","[2,2]","715645410000","1431291110","0.9999953021436708","36.7801","1.06368","1.62206","2.32164","56.4871","33.14","0.746394","0.0298865","0.0427762","48.544200000000004","0.11445262615524807","0.027020000000000002","329521","0.999886","0.999997","1122874"
"x264","256kB","8","LRU","2","2","[2,2]","2079267501000","4158379102","1.0","4.79021","0.350435","1.17447","4.8839","26.2607","1.150172","0.033152","0.0031074500000000003","0.01292193","4.93363","0.8898373275905217","0.2302505","8371981","0.9969785","0.9978825","12056368"
"x264","512kB","8","LRU","2","2","[2,2]","2079267501000","4158379230","0.9999999692187767","6.0373","0.392398","1.17523","4.88707","31.6242","2.39726","0.0751148","0.00386827","0.01608574","10.29715","0.2978090916515396","0.07669100000000001","2690940","0.9949844999999999","0.997412","4128923"
"x264","1MB","8","LRU","2","2","[2,2]","2079267501000","4158379294","0.9999999538281656","8.53152","0.480438","1.17695","4.8942","42.3693","4.89148","0.1631548","0.0055826999999999995","0.023215","21.0423","0.1846811345300198","0.0472435","1641622","0.99848","0.9992185","2601500"
"x264","2MB","8","LRU","2","2","[2,2]","2079267494000","4158379742","0.999999846093902","12.0949","0.525901","1.17958","4.90515","57.3871","8.45484","0.208618","0.00821705","0.0341696","36.060100000000006","0.1276768947165617","0.032568","1108668","0.999691","0.9997045","1852040"
"x264","4MB","8","LRU","2","2","[2,2]","2079267494000","4158379742","0.999999846093902","20.6516","0.728504","1.1829","4.91894","93.8254","17.01154","0.41122","0.011533950000000001","0.047962500000000005","72.4984","0.09995163720410716","0.025438000000000002","829026","0.9998045","0.9998454999999999","1513375"
"x264","8MB","8","LRU","2","2","[2,2]","2079267494000","4158379742","0.999999846093902","36.7801","1.06368","1.18781","4.93935","162.308","33.14","0.746394","0.01644044","0.0683656","140.9812","0.07626680328961798","0.0193895","540958","0.999846","0.9997425","1175686"
