"bench","l2_size","l2_assoc","l2_tags","num_domains","num_cpus_per_domain","topology","sim_ticks","num_cycles","speedup","system_subthreshold_leakage_power","system_gate_leakage_power","system_runtime_dynamic_power","system_runtime_dynamic_energy","system_total_runtime_energy","l2_subthreshold_leakage_power","l2_gate_leakage_power","l2_runtime_dynamic_power","l2_runtime_dynamic_energy","l2_total_runtime_energy","l2_miss_rate","l2_replacements","numa_cache_downward_miss_rate","numa_cache_upward_miss_rate","system_bus_snoops"
"ferret","256kB","8","LRU","2","2","[2,2]","462846140000","925692714","1.0","4.79021","0.350435","1.44302","1.33579","6.09445","1.150172","0.033152","0.00620418","0.005743160000000001","1.101137","0.248584","3943495","0.9929595","0.995563","6435701"
"ferret","256kB","8","IbRDP","2","2","[2,2]","462845852000","925692138","1.0000006222371092","4.79021","0.350435","1.44303","1.3358","6.09446","1.150172","0.033152","0.0062181400000000005","0.00575608","1.10115","0.249431","4220467","0.9771540000000001","0.994235","6476880"
"ferret","256kB","8","RRIP","2","2","[2,2]","462845787000","925692008","1.000000762672675","4.79021","0.350435","1.44314","1.3359","6.09456","1.150172","0.033152","0.0063236","0.00585371","1.101248","0.2639355","4347601","0.9879205","0.994293","6803988"
"ferret","256kB","8","DBRSP","2","2","[2,2]","462845884000","925692202","1.0000005530996143","4.79021","0.350435","1.44325","1.336","6.09466","1.150172","0.033152","0.00643188","0.0059539499999999995","1.101348","0.2941245","5108192","0.968757","0.988974","7603341"
"fluidanimate","256kB","8","LRU","2","2","[2,2]","261556791500","523112480","1.0","4.79021","0.350435","1.80865","0.946128","3.63527","1.150172","0.033152","0.00262401","0.001372651","0.620384","0.5436395","1329566","0.9915339999999999","0.9976735000000001","2334060"
"fluidanimate","256kB","8","IbRDP","2","2","[2,2]","261556723500","523112344","1.000000259982395","4.79021","0.350435","1.8087","0.946151","3.63529","1.150172","0.033152","0.0026685199999999997","0.001395934","0.6204069999999999","0.5625994999999999","1501172","0.971908","0.994589","2410231"
"fluidanimate","256kB","8","RRIP","2","2","[2,2]","261556723500","523112344","1.000000259982395","4.79021","0.350435","1.80869","0.946147","3.63528","1.150172","0.033152","0.00266023","0.0013916","0.620403","0.559055","1461381","0.985579","0.9933810000000001","2395442"
"fluidanimate","256kB","8","DBRSP","2","2","[2,2]","261556723500","523112344","1.000000259982395","4.79021","0.350435","1.80892","0.946267","3.6354","1.150172","0.033152","0.00289019","0.001511893","0.6205229999999999","0.6603795","1875075","0.9365105","0.9895645","2790889"
"freqmine","256kB","8","LRU","2","2","[2,2]","1332521706000","2665043916","1.0","4.79021","0.350435","1.35325","3.60646","17.3065","1.150172","0.033152","0.008792959999999999","0.0234336","3.17704","0.7345889999999999","5250365","0.9992725","0.999387","56063295"
"freqmine","256kB","8","IbRDP","2","2","[2,2]","1332522981500","2665046467","0.9999990427934253","4.79021","0.350435","1.35327","3.60652","17.3066","1.150172","0.033152","0.008814679999999998","0.0234916","3.17711","0.7380884999999999","5494421","0.99855","0.999147","56265731"
"freqmine","256kB","8","RRIP","2","2","[2,2]","1332522854000","2665046209","0.9999991396021607","4.79021","0.350435","1.35337","3.60679","17.3069","1.150172","0.033152","0.008916420000000001","0.0237627","3.17737","0.7539595","6172984","0.9983420000000001","0.9989405","57160496"
"freqmine","256kB","8","DBRSP","2","2","[2,2]","1332521980000","2665044461","0.9999997955005975","4.79021","0.350435","1.35348","3.60708","17.3071","1.150172","0.033152","0.00902362","0.0240484","3.1776600000000004","0.7725770000000001","7252020","0.9962835","0.998572","58269076"
"streamcluster","256kB","8","LRU","2","2","[2,2]","399404442000","796912550","1.0","4.79021","0.350435","1.53898","1.22643","5.32308","1.150172","0.033152","0.02010364","0.016020819999999998","0.959027","0.6707475","16430181","0.9906565","0.9869955","29207492"
"streamcluster","256kB","8","IbRDP","2","2","[2,2]","399404380500","796912427","1.000000154345692","4.79021","0.350435","1.53666","1.22458","5.32123","1.150172","0.033152","0.01777968","0.01416885","0.957174","0.5265865","12737833","0.9546224999999999","0.9835035","22905537"
"streamcluster","256kB","8","RRIP","2","2","[2,2]","399468704500","798865300","0.9975555954176505","4.79021","0.350435","1.53392","1.22539","5.33208","1.150172","0.033152","0.01700614","0.01358561","0.9589019999999999","0.4811575","11132413","0.983469","0.984723","21091892"
"streamcluster","256kB","8","DBRSP","2","2","[2,2]","399468712500","798865316","0.9975555754382006","4.79021","0.350435","1.53381","1.22531","5.332","1.150172","0.033152","0.01690051","0.01350124","0.958818","0.475485","11131711","0.964498","0.9857945","20894298"
